Data,0h00,0h15,0h30,0h45,1h00,1h15,1h30,1h45,2h00,2h15,2h30,2h45,3h00,3h15,3h30,3h45,4h00,4h15,4h30,4h45,5h00,5h15,5h30,5h45,6h00,6h15,6h30,6h45,7h00,7h15,7h30,7h45,8h00,8h15,8h30,8h45,9h00,9h15,9h30,9h45,10h00,10h15,10h30,10h45,11h00,11h15,11h30,11h45,12h00,12h15,12h30,12h45,13h00,13h15,13h30,13h45,14h00,14h15,14h30,14h45,15h00,15h15,15h30,15h45,16h00,16h15,16h30,16h45,17h00,17h15,17h30,17h45,18h00,18h15,18h30,18h45,19h00,19h15,19h30,19h45,20h00,20h15,20h30,20h45,21h00,21h15,21h30,21h45,22h00,22h15,22h30,22h45,23h00,23h15,23h30,23h45
2018-08-15,29,22,23,17,30,14,9,19,12,17,16,10,13,16,12,17,17,18,21,19,19,11,8,11,18,17,16,17,23,16,20,25,27,21,28,26,27,37,25,29,37,37,36,39,41,35,42,38,42,43,44,24,31,46,40,36,30,39,36,44,39,37,45,49,48,50,42,48,51,42,42,33,32,37,47,39,34,37,42,37,43,28,29,31,23,18,42,23,36,29,27,29,22,36,21,26
2018-08-16,23,24,17,16,14,21,11,12,10,12,10,4,11,4,12,10,5,6,8,8,12,6,11,5,17,17,18,9,22,17,26,27,31,24,34,44,52,43,45,36,58,49,49,50,49,57,70,68,60,34,62,50,44,44,46,37,56,71,49,52,21,0,0,0,10,62,59,58,59,59,61,56,55,67,57,61,46,56,51,45,42,45,39,32,36,32,44,28,31,37,40,32,22,25,28,33
2018-08-17,29,18,22,24,21,18,10,17,8,9,14,8,7,12,11,6,4,12,8,6,13,7,19,12,20,18,20,21,24,20,23,27,25,28,42,31,38,42,43,46,59,47,47,47,56,48,48,54,50,54,48,46,47,54,46,43,42,50,46,51,54,57,58,59,40,58,67,52,62,60,67,42,61,51,65,59,44,51,42,30,43,48,31,35,38,29,36,44,31,29,28,32,23,27,37,37
2018-08-18,23,32,39,17,23,25,16,18,21,18,13,13,14,18,23,17,18,16,13,17,16,11,11,15,20,21,15,23,19,23,17,21,22,22,28,27,26,30,29,27,34,19,37,36,38,34,40,41,44,35,43,28,22,33,45,34,34,31,35,40,36,38,32,38,36,44,33,48,36,38,24,28,28,41,39,46,41,28,37,47,39,36,27,31,22,30,31,28,34,26,28,37,29,28,38,28
2018-08-19,31,33,28,15,19,18,21,16,19,21,13,16,19,17,14,12,14,12,19,10,14,16,12,12,13,16,17,14,17,23,19,13,28,21,23,17,27,30,30,38,29,27,38,22,31,32,46,37,42,40,35,37,27,31,25,28,35,30,35,31,43,26,38,36,45,34,29,42,34,39,35,33,29,33,29,31,38,38,25,37,30,33,33,35,26,28,37,27,28,22,34,28,27,34,29,27
2018-08-20,28,27,26,18,20,13,11,9,12,8,11,5,6,9,11,6,11,10,14,7,6,11,12,14,21,11,20,25,31,19,31,41,32,34,26,46,42,51,50,66,58,52,53,52,51,61,54,51,57,68,55,55,63,44,40,44,51,48,48,51,55,49,54,54,57,66,55,70,46,61,78,82,51,68,59,69,54,56,41,39,43,41,55,28,28,37,35,24,34,28,35,29,35,24,31,33
2018-08-21,25,18,26,20,11,15,9,13,8,10,9,5,4,4,6,6,3,9,11,14,12,12,8,12,15,15,20,15,17,27,23,25,33,29,38,28,39,47,57,48,51,49,63,57,44,71,75,69,60,60,45,58,64,45,51,50,51,61,54,46,56,46,52,45,64,45,53,59,60,65,71,59,56,51,70,48,59,63,45,54,40,50,33,28,30,24,42,35,27,33,27,29,25,34,27,34
2018-08-22,26,22,19,20,17,12,17,9,7,6,9,12,4,7,10,11,12,13,12,14,12,7,13,10,22,14,25,25,17,23,37,28,31,29,41,43,34,38,45,46,44,57,53,47,60,64,51,69,64,54,57,46,46,51,51,48,49,52,53,56,56,56,64,54,60,52,57,65,70,74,59,73,43,64,63,57,57,59,73,47,39,40,35,36,31,41,33,26,24,31,36,33,34,31,35,30
2018-08-23,34,19,20,16,15,13,11,16,13,6,13,6,9,8,10,7,12,14,11,9,5,11,12,17,11,16,17,18,33,26,29,27,30,45,47,45,49,43,55,57,50,55,52,48,65,56,55,79,52,54,50,49,49,55,43,36,49,68,46,56,55,55,65,51,62,78,60,59,70,52,77,53,58,63,62,66,66,60,51,54,43,39,37,35,37,43,33,35,38,29,37,34,27,33,26,28
2018-08-24,22,25,32,17,25,19,17,14,13,15,14,10,6,11,7,2,14,9,12,13,14,7,8,13,13,13,23,20,25,28,29,29,42,32,38,48,53,47,46,36,55,54,50,54,66,53,50,59,42,64,68,50,62,55,49,62,56,51,60,59,49,50,59,53,55,63,79,68,66,62,58,82,63,61,68,47,52,48,58,62,53,55,44,38,47,48,35,36,31,25,38,34,31,37,31,26
2018-08-25,31,24,39,34,24,22,28,24,14,17,14,17,17,20,21,13,20,14,22,15,21,16,14,24,17,15,17,19,11,23,28,28,22,25,32,26,40,34,33,30,35,32,29,39,36,47,40,44,48,40,37,36,38,39,43,39,41,42,39,35,32,33,30,41,50,39,42,50,44,32,33,34,44,39,33,48,35,21,26,36,29,32,26,22,31,29,23,29,32,25,26,22,33,35,25,29
2018-08-26,19,27,26,19,23,19,19,25,16,24,10,17,18,21,27,17,13,14,23,24,19,23,20,18,14,18,18,19,27,22,29,22,26,24,27,29,26,25,22,31,29,31,30,26,39,44,46,24,32,35,34,32,34,29,34,32,22,27,22,26,35,40,31,32,39,35,49,30,37,33,36,35,48,27,36,35,34,32,40,37,27,36,35,30,26,23,29,16,19,29,24,28,27,19,16,31
2018-08-27,17,21,12,20,15,13,15,11,11,8,8,7,10,10,7,11,8,11,8,10,13,7,15,18,23,11,24,26,27,24,30,36,41,38,43,36,59,48,59,50,61,61,50,45,55,59,39,51,72,68,68,60,60,57,52,49,55,51,53,58,63,51,70,55,57,62,60,65,51,48,65,49,64,63,55,56,57,51,63,51,41,45,41,40,34,35,32,32,27,22,35,30,31,22,24,25
2018-09-01,32,31,26,21,27,26,26,23,23,18,20,19,20,20,18,22,21,19,18,17,11,10,15,16,15,24,23,30,26,36,20,26,33,29,22,34,27,23,38,34,43,39,50,48,49,38,50,50,41,37,47,30,30,39,38,40,34,32,39,35,46,49,40,36,44,44,34,55,31,45,42,42,52,34,32,38,51,39,54,59,41,47,34,32,32,31,37,33,33,33,40,45,30,43,34,35
2018-09-02,35,26,27,27,26,25,27,23,23,22,14,18,19,20,25,22,20,22,21,24,16,13,22,18,21,16,15,16,18,23,20,32,20,29,22,24,29,25,19,20,31,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
